id,value
id_0,30
id_1,41
id_2,44
id_3,33
id_4,37
id_5,36
id_6,45
id_7,42
id_8,49
id_9,45
id_10,44
id_11,41
id_12,30
id_13,24
id_14,13
id_15,21
id_16,23
id_17,30
id_18,30
id_19,22
id_20,18
id_21,13
id_22,13
id_23,11
id_24,22
id_25,25
id_26,34
id_27,38
id_28,50
id_29,53
id_30,43
id_31,43
id_32,45
id_33,46
id_34,32
id_35,16
id_36,19
id_37,22
id_38,26
id_39,19
id_40,25
id_41,27
id_42,20
id_43,16
id_44,14
id_45,15
id_46,8
id_47,4
id_48,9
id_49,16
id_50,22
id_51,23
id_52,29
id_53,32
id_54,36
id_55,34
id_56,45
id_57,40
id_58,41
id_59,23
id_60,29
id_61,23
id_62,37
id_63,27
id_64,27
id_65,14
id_66,20
id_67,22
id_68,24
id_69,26
id_70,33
id_71,48
id_72,50
id_73,49
id_74,45
id_75,63
id_76,63
id_77,62
id_78,55
id_79,56
id_80,67
id_81,78
id_82,83
id_83,90
id_84,75
id_85,85
id_86,82
id_87,80
id_88,80
id_89,76
id_90,81
id_91,75
id_92,66
id_93,70
id_94,65
id_95,66
id_96,57
id_97,56
id_98,64
id_99,67
id_100,72
id_101,64
id_102,73
id_103,57
id_104,57
id_105,53
id_106,70
id_107,70
id_108,60
id_109,68
id_110,66
id_111,66
id_112,55
id_113,46
id_114,46
id_115,46
id_116,42
id_117,35
id_118,35
id_119,40
id_120,45
id_121,48
id_122,57
id_123,57
id_124,59
id_125,62
id_126,59
id_127,61
id_128,50
id_129,60
id_130,62
id_131,62
id_132,50
id_133,45
id_134,43
id_135,41
id_136,32
id_137,35
id_138,31
id_139,33
id_140,25
id_141,36
id_142,28
id_143,33
id_144,29
id_145,42
id_146,56
id_147,66
id_148,78
id_149,62
id_150,61
id_151,47
id_152,54
id_153,57
id_154,59
id_155,61
id_156,43
id_157,39
id_158,38
id_159,48
id_160,53
id_161,60
id_162,60
id_163,52
id_164,47
id_165,45
id_166,50
id_167,43
id_168,40
id_169,42
id_170,41
id_171,39
id_172,36
id_173,35
id_174,36
id_175,36
id_176,32
id_177,33
id_178,33
id_179,34
id_180,21
id_181,15
id_182,13
id_183,18
id_184,15
id_185,9
id_186,9
id_187,14
id_188,15
id_189,20
id_190,16
id_191,23
id_192,16
id_193,17
id_194,9
id_195,7
id_196,7
id_197,20
id_198,20
id_199,20
id_200,18
id_201,18
id_202,22
id_203,15
id_204,11
id_205,1
id_206,1
id_207,6
id_208,7
id_209,7
id_210,0
id_211,0
id_212,1
id_213,1
id_214,7
id_215,7
id_216,8
id_217,4
id_218,8
id_219,12
id_220,19
id_221,23
id_222,20
id_223,18
id_224,15
id_225,16
id_226,10
id_227,6
id_228,11
id_229,22
id_230,28
id_231,25
id_232,21
id_233,25
id_234,24
id_235,23
id_236,18
id_237,20
id_238,14
id_239,7
id_240,17
id_241,31
id_242,44
id_243,43
id_244,46
id_245,36
id_246,36
id_247,29
id_248,32
id_249,33
id_250,30
id_251,40
id_252,36
id_253,46
id_254,41
id_255,48
id_256,56
id_257,62
id_258,52
id_259,40
id_260,32
id_261,37
id_262,31
id_263,34
id_264,32
id_265,33
id_266,31
id_267,21
id_268,20
id_269,19
id_270,24
id_271,25
id_272,14
id_273,16
id_274,22
id_275,23
id_276,18
id_277,6
id_278,9
id_279,10
id_280,10
id_281,10
id_282,13
id_283,18
id_284,16
id_285,7
id_286,5
id_287,2
id_288,11
id_289,8
id_290,21
id_291,17
id_292,23
id_293,18
id_294,29
id_295,38
id_296,43
id_297,44
id_298,48
id_299,47
id_300,36
id_301,25
id_302,23
id_303,29
id_304,23
id_305,21
id_306,21
id_307,30
id_308,26
id_309,26
id_310,26
id_311,23
id_312,16
id_313,4
id_314,6
id_315,6
id_316,8
id_317,10
id_318,6
id_319,4
id_320,7
id_321,14
id_322,20
id_323,17
id_324,14
id_325,13
id_326,9
id_327,9
id_328,4
id_329,8
id_330,5
id_331,14
id_332,11
